Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Regular price,Sale price,Categories,Stock,Weight (kg),Length (cm),Width (cm),Height (cm),Images
simple,TOY-003,Durable Chew Bone,1,0,visible,Our Durable Chew Bone satisfies your dog's natural chewing instinct with a tough long-lasting design that promotes dental health.,15.99,12.99,"Toys & Accessories",40,0.3,15,5,3,https://images.unsplash.com/photo-1581125919789-25aa9d67d817?w=800
simple,TOY-004,Bird Activity Center,1,0,visible,Keep your feathered friend entertained with our Bird Activity Center featuring mirrors bells ladders and colorful perches.,18.99,14.99,"Toys & Accessories",15,0.2,25,20,30,https://images.unsplash.com/photo-1603314585442-ee3b3c16fbcf?w=800
simple,BED-001,Orthopedic Dog Bed,1,1,visible,Provide your dog with superior comfort and joint support with our premium Orthopedic Dog Bed featuring memory foam and a waterproof liner.,79.99,59.99,"Beds & Furniture > Dog Beds",15,3,90,70,15,https://images.unsplash.com/photo-1541014591548-6900a1e30f8b?w=800
simple,BED-002,Cozy Cat Cave,1,0,visible,The perfect hideaway for your feline friend our Cozy Cat Cave provides a warm secure space for sleeping and relaxing.,34.99,29.99,"Beds & Furniture > Cat Beds",20,0.8,40,40,30,https://images.unsplash.com/photo-1597433212392-d2abecf9c908?w=800
simple,BED-003,Luxury Pet Sofa,1,0,visible,Treat your pet to the ultimate in comfort and style with our Luxury Pet Sofa featuring premium upholstery and memory foam cushioning.,119.99,89.99,"Beds & Furniture > Pet Couches",10,5,120,60,35,https://images.unsplash.com/photo-1567016526105-22da7c13161a?w=800
simple,BED-004,Cat Tree Condo,1,1,visible,Our multi-level Cat Tree Condo provides the perfect playground for your feline friends with scratching posts hideaways and perches.,99.99,79.99,"Beds & Furniture > Cat Trees & Condos",8,15,70,60,165,https://images.unsplash.com/photo-1519698082345-01a9c4295f27?w=800
simple,BED-005,Pet Hammock,1,0,visible,Elevate your pet's relaxation with our sturdy Pet Hammock providing a comfortable elevated bed that keeps pets cool and comfortable.,44.99,34.99,"Beds & Furniture > Pet Hammocks",15,3,90,60,15,https://images.unsplash.com/photo-1541599468348-e96984315921?w=800
simple,CARRIER-001,Deluxe Pet Carrier,1,1,visible,Travel safely and comfortably with your pet using our Deluxe Pet Carrier featuring ventilated sides cushioned interior and airline approval.,59.99,49.99,"Carriers & Travel > Carriers & Crates",20,1.5,58,33,33,https://images.unsplash.com/photo-1541781550486-81b7a2328578?w=800
simple,CARRIER-002,Collapsible Travel Crate,1,0,visible,Our Collapsible Travel Crate provides a secure portable space for your pet with easy setup and storage for travel or home use.,69.99,54.99,"Carriers & Travel > Carriers & Crates",15,3,90,60,68,https://images.unsplash.com/photo-1529778873920-4da4926a72c2?w=800
simple,TRAVEL-001,Car Seat Cover,1,0,visible,Protect your vehicle with our waterproof scratch-resistant Car Seat Cover designed for pets featuring non-slip backing and seat anchors.,44.99,34.99,"Carriers & Travel > Seat Covers & Barriers",25,1,145,145,5,https://images.unsplash.com/photo-1560743641-3914f2c45636?w=800
simple,TRAVEL-002,Collapsible Travel Bowl Set,1,0,visible,Keep your pet hydrated and fed on the go with our Collapsible Travel Bowl Set featuring two foldable silicone bowls and a carrying case.,15.99,12.99,"Carriers & Travel > Travel Bowls & Bottles",40,0.2,13,13,6,https://images.unsplash.com/photo-1516750105099-4b8a83e217ee?w=800
simple,TRAVEL-003,Reflective Pet Travel Harness,1,0,visible,Ensure safety during travel with our Reflective Pet Travel Harness featuring car seat belt attachment and adjustable padded design for comfort.,29.99,24.99,"Carriers & Travel > Travel Harnesses",25,0.3,30,20,5,https://images.unsplash.com/photo-1541599540903-216a46ca1dc0?w=800
simple,GROOM-001,Professional Pet Grooming Kit,1,1,visible,Maintain your pet's coat at home with our Professional Pet Grooming Kit featuring quality clippers scissors combs and nail trimmers.,79.99,59.99,"Health & Grooming",15,1.5,30,20,10,https://images.unsplash.com/photo-1516734212186-a967f81ad0d7?w=800
simple,GROOM-002,Deshedding Tool,1,0,visible,Reduce shedding by up to 90% with our Deshedding Tool featuring a stainless steel edge and ergonomic handle for comfortable grooming.,24.99,19.99,"Health & Grooming",30,0.3,20,5,3,https://images.unsplash.com/photo-1583337130417-3346a1be7dee?w=800
simple,GROOM-003,Waterless Pet Shampoo,1,0,visible,Keep your pet fresh between baths with our Waterless Pet Shampoo featuring natural ingredients no rinsing required and a pleasant scent.,15.99,12.99,"Health & Grooming",40,0.25,10,5,20,https://images.unsplash.com/photo-1584473457493-17c4c40afdd3?w=800
simple,TRAIN-001,Adjustable Dog Training Collar,1,0,visible,Train your dog effectively with our Adjustable Training Collar featuring multiple training modes waterproof design and range up to 1000 yards.,59.99,49.99,"Training & Behavior",20,0.3,10,5,3,https://images.unsplash.com/photo-1535930891776-0c2dfb7fda1a?w=800
simple,TRAIN-002,Treat Training Pouch,1,0,visible,Keep treats handy during training sessions with our Treat Training Pouch featuring multiple compartments built-in waste bag dispenser and adjustable belt.,19.99,14.99,"Training & Behavior",30,0.2,18,15,8,https://images.unsplash.com/photo-1599839575945-a9e5af0c3fa5?w=800
simple,TRAIN-003,Pet Clicker Training Set,1,0,visible,Start clicker training with our complete Pet Clicker Training Set including two clickers training guide and treat pouch for effective positive reinforcement.,12.99,9.99,"Training & Behavior",50,0.1,10,8,3,https://images.unsplash.com/photo-1588943211346-0908a1fb0b01?w=800
simple,ACC-001,Adjustable Reflective Pet Collar,1,0,visible,Keep your pet safe and stylish with our Adjustable Reflective Pet Collar featuring durable nylon webbing reflective stitching and secure buckle.,12.99,9.99,"Toys & Accessories",60,0.1,30,2,2,https://images.unsplash.com/photo-1555488205-d5e67846cf40?w=800
simple,ACC-002,Personalized Pet ID Tag,1,1,visible,Keep your pet identifiable with our durable Personalized Pet ID Tag featuring custom engraving multiple designs and quiet silencer ring.,12.99,8.99,"Toys & Accessories",100,0.05,4,4,0.2,https://images.unsplash.com/photo-1518155317743-a8ff43ea6a5f?w=800
